basename	blob_sha	size_bytes	snapshot	source_path_at_snapshot
2026-02-26_breadcrumb.md	76be3c054208363c2103a59c344ebad90ae4d30b	2422	Mar24	.agent/sessions/2026-02-26_breadcrumb.md
2026-03-20 morph boundary vertices.md	09b5fee7100f2f3f2f38aaee991374655c40e995	1018	Mar23	.agent/WIP Work-In-Progress/2026-03-20 morph boundary vertices.md
2026-03-24 NotebookLM Migration Map Geometry Architecture Consolidation (v3.1).md	895d5ee6a5723eac15f95b25f4f4bceb06aee145	6845	Mar24	.agent/SPECIFICATIONS/geometry-atlas/2026-03-24 NotebookLM Migration Map Geometry Architecture Consolidation (v3.1).md
action-platformer.md	9305f8abf0dce37f0c51e983e8a2ee14483e8886	786	Mar24	_bmad/gds/workflows/2-design/gdd/game-types/action-platformer.md
adventure.md	2de824a5b5b1798769dc72796cb7f838c017ce60	2054	Mar24	_bmad/gds/workflows/2-design/gdd/game-types/adventure.md
AGENT.md	7e4f337ecbdd7c6662d4c0b58fe17eebdcc0c9b9	12105	Mar24	.agent/AGENT.md
agent-architecture.md	95503c3f51aaaefa973b43412cb6f324bcfbb2f3	6618	Mar24	_bmad/bmb/workflows/agent/data/agent-architecture.md
agent-builder.md	007034fd544518c373e4348f092d7711707ef03e	4807	Mar24	_bmad/bmb/agents/agent-builder.md
agent-compilation.md	1880f640d1544788282a6b52c4d8f7490c8b71ca	5948	Mar24	_bmad/bmb/workflows/agent/data/agent-compilation.md
agent-menu-patterns.md	837e492fccb2b608f512478979cb3f9418310fcf	5042	Mar24	_bmad/bmb/workflows/agent/data/agent-menu-patterns.md
agent-metadata.md	98ed5b2715581cfb94a62c95688e5a5113a377a9	3168	Mar24	_bmad/bmb/workflows/agent/data/agent-metadata.md
agent-plan.template.md	92b2d862444738f984a1fd61fcdc6237a2293c93	58	Mar24	_bmad/bmb/workflows/agent/templates/agent-plan.template.md
agent-spec-template.md	5452abb6206ccadf5fbb7de12d79b99ed0481d02	1179	Mar24	_bmad/bmb/workflows/module/data/agent-spec-template.md
agent-template.md	11979272fd5760b1e6c24ec272a417f5e9533b6d	2661	Mar24	_bmad/bmb/workflows/agent/templates/agent-template.md
agent-validation.md	9c3f6a910b52cfb8bb03be453f08008f0de2d5e0	3761	Mar24	_bmad/bmb/workflows/agent/data/agent-validation.md
architect.md	df0d020c42ee7380fa012e8e6ce6566592820f41	5132	Mar24	_bmad/bmb/workflows/agent/data/reference/module-examples/architect.md
architecture.md	a19223fd0b5ffc8d504806ef61abfc4faaef6176	3909	Mar24	_bmad/bmb/workflows/workflow/data/architecture.md
architecture-template.md	d3caa9d66e92f3946ed90654e96c1e3174e750d8	1513	Mar24	_bmad/gds/workflows/3-technical/game-architecture/templates/architecture-template.md
backlog-template.md	28cfe767c071a8312989e29315e019709c698a19	564	Mar24	_bmad/gds/workflows/4-production/code-review/backlog-template.md
balance-testing.md	9aad8ebf1c3c99af9eb1174063ede138419ea688	5596	Mar24	_bmad/gds/gametest/knowledge/balance-testing.md
bmad-master.md	5f204b7b05accb1fd4cd4fb1109a203c82b72308	4780	Mar24	_bmad/core/agents/bmad-master.md
brainstorm-context.md	3fd00db90f2288c14e23af2659ac06f5d1829626	3480	Mar24	_bmad/bmb/workflows/agent/data/brainstorm-context.md
brainstorming-coach.md	e1b4dd052e60cd2238c705f79a92923f20b40389	4350	Mar24	_bmad/cis/agents/brainstorming-coach.md
brief-template.md	01ad3f3d1861e7fe9db9069955fe9e8e6bbd26a9	2119	Mar24	_bmad/bmb/workflows/module/templates/brief-template.md
card-game.md	24dacd7f4b17c3d17acba8b7dd22fc9f6b875c10	1506	Mar24	_bmad/gds/workflows/2-design/gdd/game-types/card-game.md
certification-testing.md	4e268f8dd193ab7f064ea6d70dd1bb087744c87e	9967	Mar24	_bmad/gds/gametest/knowledge/certification-testing.md
checklist.md	55e6c397eaf95dff2e18c9336616af09fbe36c7d	14536	Mar24	_bmad/gds/workflows/4-production/create-story/checklist.md
code-standards.md	f7fb598acabc9db4af57eca42ac1a78b84903241	4111	Mar24	.agent/context/code-standards.md
compatibility-testing.md	291bdfce500d28f3a3be666075c35723ea97f307	5827	Mar24	_bmad/gds/gametest/knowledge/compatibility-testing.md
CONQUEST_ANIMATION_SPEC.md	33db97384e3ec40d7d1de7975cc41abd215e8ecd	1962	Mar24	.agent/SPECIFICATIONS/CONQUEST_ANIMATION_SPEC.md
creative-problem-solver.md	5094b3de6148d4f5cf1306c67165a02730f971bf	4384	Mar24	_bmad/cis/agents/creative-problem-solver.md
critical-actions.md	3100996f5db4b832ae25a625040c023e8533eb24	1980	Mar24	_bmad/bmb/workflows/agent/data/critical-actions.md
csv-data-file-standards.md	24ea3c32a57c81b476380cbce396b30d7020c970	1297	Mar24	_bmad/bmb/workflows/workflow/data/csv-data-file-standards.md
CURRENT_OBJECTIVE.md	8a0de173f3a784f24057f63c38669e429348022d	766	Mar24	.agent/CURRENT_OBJECTIVE.md
CURRENT_SPRINT.md	efe4378707bff7a31ea99cd8ed11c88b621327de	962	Mar24	.agent/CURRENT_SPRINT.md
DECISIONS.md	2bd1d88bdf53d6df077d47c9d0df2d65655469a3	50685	Mar23	.atlas/DECISIONS.md
deep-dive-instructions.md	c88dfb08b2e125e3f07c812f6bcbd81cd37b0f81	11742	Mar24	_bmad/gds/workflows/document-project/workflows/deep-dive-instructions.md
deep-dive-template.md	c1285cdc0807d247305853052f1af4877d3c254c	5854	Mar24	_bmad/gds/workflows/document-project/templates/deep-dive-template.md
design-thinking-coach.md	023e9f9c171311bf646c0b4391f48440021b92b0	4322	Mar24	_bmad/cis/agents/design-thinking-coach.md
documentation-standards.md	8da5b4329bd7ab7b7852cdc319db0ad5a898bb0a	5867	Mar24	_bmad/_memory/tech-writer-sidecar/documentation-standards.md
dy4-sacrosanct.md	4adc00ffb8fe8c3c03edb3ff054e73945bdab95a	1360	Mar23	.agent/rules/dy4-sacrosanct.md
e-01-load-existing.md	8dc43ea2602a315f26f6002a056e5e3ff7f6e6ae	6615	Mar24	_bmad/bmb/workflows/agent/steps-e/e-01-load-existing.md
e-02-discover-edits.md	2a36d1fbbd4085c1cf3b541fea41cde136ae0e87	6637	Mar24	_bmad/bmb/workflows/agent/steps-e/e-02-discover-edits.md
e-04-sidecar-metadata.md	112c588b607c05f7962a2f1fe5d536a7bc33630e	4097	Mar24	_bmad/bmb/workflows/agent/steps-e/e-04-sidecar-metadata.md
e-05-persona.md	df3b73787495d07ba34d925d27e4731322560ba5	4144	Mar24	_bmad/bmb/workflows/agent/steps-e/e-05-persona.md
e-06-commands-menu.md	a647dc52aac0c01de47f8ce2c27a9e21d795fcaf	3655	Mar24	_bmad/bmb/workflows/agent/steps-e/e-06-commands-menu.md
e-07-activation.md	f6633d74956067e9b821c879aba7261cf8ae34a0	3773	Mar24	_bmad/bmb/workflows/agent/steps-e/e-07-activation.md
e-08-edit-agent.md	4cde0767e4a082da56a1d411bb770e529748cc51	6430	Mar24	_bmad/bmb/workflows/agent/steps-e/e-08-edit-agent.md
e-09-celebrate.md	e7e935cde739cfcae183d3b275708d8df184f76d	5143	Mar24	_bmad/bmb/workflows/agent/steps-e/e-09-celebrate.md
e2e-testing.md	8f35bcd77a61de5ebda8f69bafd1ab1c9c0c463e	28479	Mar24	_bmad/gds/gametest/knowledge/e2e-testing.md
ENGINE_ARCHITECTURE_CURRENT.md	797caa8a637b2ef8747aa387f6438ee8cac33fd7	6299	Mar24	.agent/SPECIFICATIONS/ENGINE_ARCHITECTURE_CURRENT.md
FEATURE_IDEAS.md	c077b4e709b0778ad4041cd7d428b538ec67a352	9544	Mar24	.agent/WIP Work-In-Progress/FEATURE_IDEAS.md
